Address,Availability,Owner,Rooms,Size,links,postal,city,streetaddress,Price,acconto,housenumber,X,Y,UTM1,UTM2
"Amagerfælledvej  124, 3. TV2300 København S",01-10-2017,AP Pension,4,114,https://www.findbolig.nu/bolig.aspx?aid=27215&s=2,2300,København S,Amagerfælledvej,15158.0,1290.0,124,12.59082873,55.65691688,348433.12624919956,6170528.117139325
"Amagerfælledvej  142, 2. TH2300 København S",01-10-2017,AP Pension,4,98,https://www.findbolig.nu/bolig.aspx?aid=27216&s=2,2300,København S,Amagerfælledvej,14104.0,1110.0,142,12.59131389,55.65653067,348462.149986282,6170484.089248309
"Amagerfælledvej  118, 5. TH2300 København S",01-10-2017,AP Pension,4,103,https://www.findbolig.nu/bolig.aspx?aid=27252&s=2,2300,København S,Amagerfælledvej,14549.17,1170.0,118,12.59128055,55.65694779,348461.66470804345,6170530.568901406
"Carl Jacobsens Vej  19U, 4. TH2500 Valby",01-10-2017,Lærernes Pension,4,127,https://www.findbolig.nu/bolig.aspx?aid=27313&s=2,2500,Valby,Carl Jacobsens Vej,15954.22,1200.0,19U,12.51785894,55.65274398,343826.8300900011,6170225.72503503
"Carl Jacobsens Vej  19N, 5. TV2500 Valby",01-10-2017,Lærernes Pension,4,119,https://www.findbolig.nu/bolig.aspx?aid=27314&s=2,2500,Valby,Carl Jacobsens Vej,15476.85,1200.0,19N,12.51713248,55.65314409,343782.72615202126,6170271.874244686
"Marmorvej  43, st. th.2100 København Ø",01-10-2017,Pensam,4,130,https://www.findbolig.nu/bolig.aspx?aid=24689&s=2,2100,København Ø,Marmorvej,20679.26,1440.0,43,12.59627768,55.70436694,348958.8839637465,6175795.320243412
"Margrethevænget 6, 5. 12665 Vallensbæk Strand",01-10-2017,CEJ Ejendomsadministration,4,117,https://www.findbolig.nu/bolig.aspx?aid=27183&s=2,2665,Vallensbæk Strand,Margrethevænget,13600.0,1340.0,6,12.37634251,55.62429522,334805.27762184397,6167388.538502819
"Ben Websters Vej  86, st.2450 København SV",01-10-2017,CEJ Ejendomsadministration,3,97,https://www.findbolig.nu/bolig.aspx?aid=27111&s=2,2450,København SV,Ben Websters Vej,14500.0,1000.0,86,12.55212112,55.64593231,345955.33650573355,6169391.295489256
"Ben Websters Vej 62, 5. tv2450 København SV",01-10-2017,CEJ Ejendomsadministration,3,92,https://www.findbolig.nu/bolig.aspx?aid=27113&s=2,2450,København SV,Ben Websters Vej,14500.0,1000.0,62,12.55192056,55.64645101,345944.75490290276,6169449.448285781
"Göteborg Plads  15, 3. tv.2150 Nordhavn",01-10-2017,Pensamlogo,3,105,https://www.findbolig.nu/bolig.aspx?aid=27071&s=2,2150,Nordhavn,Göteborg Plads,15958.33,1175.0,15,12.59637062,55.706983,348974.81602547696,6176086.170673998
"Artillerivej  160, 2. 22300 København S",01-10-2017,PKA_Logo_2014,4,127,https://www.findbolig.nu/bolig.aspx?aid=27080&s=2,2300,København S,Artillerivej,15426.6,1380.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Teglholmsgade  78, 5. tv.2450 København SV",01-10-2017,Pensamlogo,3,91,https://www.findbolig.nu/bolig.aspx?aid=27085&s=2,2450,København SV,Teglholmsgade,15700.0,985.0,78,12.5546851,55.6500903,346132.96123690426,6169848.198639763
"Poul Hartlings Gade  8, st. th2300 København S",01-10-2017,Sampension,4,114,https://www.findbolig.nu/bolig.aspx?aid=27117&s=2,2300,København S,Poul Hartlings Gade,16150.0,941.67,8,12.57042809,55.65954007,347160.17455219297,6170864.723901763
"Mikkelborg Park   14, st. tv.2970 Hørsholm",01-10-2017,Deas logo,5,129,https://www.findbolig.nu/bolig.aspx?aid=27122&s=2,2970,Hørsholm,Mikkelborg Park,15588.65,875.0,14,12.52577216,55.90747572,345337.20265490876,6198548.1632841695
"Artillerivej  106, 5. th.2300 København S",01-10-2017,Lærernes Pension,4,127,https://www.findbolig.nu/bolig.aspx?aid=27129&s=2,2300,København S,Artillerivej,17978.0,1690.0,106,12.571837,55.65944751,347248.4265927423,6170851.322601538
"Krimsvej  11H, st. th.2300 København S",01-10-2017,Lærernes Pension,3,101,https://www.findbolig.nu/bolig.aspx?aid=27138&s=2,2300,København S,Krimsvej,14228.5,900.0,11H,12.63020105,55.66079881,350924.376038199,6170874.681391236
"Gyvelholm  6 , st.  2830 Virum",01-10-2017,Deas Logo,4,121,https://www.findbolig.nu/bolig.aspx?aid=27153&s=2,2830,Virum,Gyvelholm,17150.7,,6,12.44401664,55.79391337,339761.19678757084,6186099.791523847
"Carl Jacobsens Vej  19Y, 5. TV2500 Valby",01-10-2017,Lærernes Pension,4,114,https://www.findbolig.nu/bolig.aspx?aid=27157&s=2,2500,Valby,Carl Jacobsens Vej,14270.86,1125.0,19Y,12.51830978,55.65304692,343856.39594495925,6170258.413127415
"Artillerivej  160, 13. 32300 København S",01-10-2017,PKA_Logo_2014,4,134,https://www.findbolig.nu/bolig.aspx?aid=26935&s=2,2300,København S,Artillerivej,17989.32,1455.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Artillerivej  160, 13. 42300 København S",01-10-2017,PKA_Logo_2014,3,129,https://www.findbolig.nu/bolig.aspx?aid=26937&s=2,2300,København S,Artillerivej,18391.32,1400.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Amagerfælledvej  124, 1. TH2300 København S",01-10-2017,AP Pension,4,116,https://www.findbolig.nu/bolig.aspx?aid=26838&s=2,2300,København S,Amagerfælledvej,15124.33,1310.0,124,12.59082873,55.65691688,348433.12624919956,6170528.117139325
"Carl Jacobsens Vej  17N, 5.2500 Valby",01-10-2017,PKA_Logo_2014,3,132,https://www.findbolig.nu/bolig.aspx?aid=26844&s=2,2500,Valby,Carl Jacobsens Vej,14680.49,1450.0,17N,12.51848398,55.65253398,343865.3119230027,6170200.954880017
"Søborg Hovedgade  123, 1. TV2860 Søborg",01-10-2017,PKA_Logo_2014,3,111,https://www.findbolig.nu/bolig.aspx?aid=26848&s=2,2860,Søborg,Søborg Hovedgade,14803.76,966.67,123,12.50718545,55.73801575,343496.58916669025,6179736.576651569
"Ben Websters Vej 70, 2. 142450 København SV",01-10-2017,CEJ Ejendomsadministration,4,106,https://www.findbolig.nu/bolig.aspx?aid=26869&s=2,2450,København SV,Ben Websters Vej,15500.0,1000.0,70,12.55251882,55.64619062,345981.37225971674,6169419.150500648
"Krimsvej  23, 10. th.2300 København S",01-10-2017,Lærernes Pension,3,101,https://www.findbolig.nu/bolig.aspx?aid=26875&s=2,2300,København S,Krimsvej,15169.71,1100.0,23,12.6318765,55.65903342,351023.0439423981,6170674.670612634
"Göteborg Plads  15, 4. tv.2150 Nordhavn",01-10-2017,Pensamlogo,3,105,https://www.findbolig.nu/bolig.aspx?aid=27033&s=2,2150,Nordhavn,Göteborg Plads,16425.0,1175.0,15,12.59637062,55.706983,348974.81602547696,6176086.170673998
"Teglholmsgade  76, 3. tv2450 København SV",01-10-2017,Pensamlogo,3,99,https://www.findbolig.nu/bolig.aspx?aid=25245&s=2,2450,København SV,Teglholmsgade,13820.79,930.0,76,12.5545268,55.64996496,346122.5110096676,6169834.6051720595
"Ben Websters Vej 38, 3. mf2450 København SV",01-10-2017,CEJ Ejendomsadministration,3,93,https://www.findbolig.nu/bolig.aspx?aid=25246&s=2,2450,København SV,Ben Websters Vej,15000.0,1000.0,38,12.55161621,55.64651396,345925.85390937305,6169457.127616339
"Axel Heides Gade  12, 5. th2300 København S",01-10-2017,Sampension,3,90,https://www.findbolig.nu/bolig.aspx?aid=26768&s=2,2300,København S,Axel Heides Gade,14440.37,1010.0,12,12.57061619,55.6602846,347174.90674046637,6170947.141948488
"Amagerfælledvej  140, 2. TH2300 København S",01-10-2017,AP Pension,4,114,https://www.findbolig.nu/bolig.aspx?aid=26784&s=2,2300,København S,Amagerfælledvej,15335.25,1290.0,140,12.59114605,55.65651976,348451.5507565887,6170483.24212624
"Amagerfælledvej  116, 2. TV2300 København S",01-10-2017,AP Pension,4,119,https://www.findbolig.nu/bolig.aspx?aid=26792&s=2,2300,København S,Amagerfælledvej,15642.0,1350.0,116,12.59132651,55.65686795,348464.2470385459,6170521.585873095
"Bisiddervej   22, 4. tv2400 København NV",01-10-2017,Pædagogernes Pensionskasse,3,91,https://www.findbolig.nu/bolig.aspx?aid=27383&s=2,2400,København NV,Bisiddervej,12900.0,1100.0,22,12.5354375,55.70625569,345144.23142646044,6176139.680331825
"Bisiddervej   20, 5. th2400 København NV",01-10-2017,Pædagogernes Pensionskasse,3,92,https://www.findbolig.nu/bolig.aspx?aid=27421&s=2,2400,København NV,Bisiddervej,13800.0,1100.0,20,12.53526607,55.70625299,345133.45171411906,6176139.762894516
"Amagerfælledvej  136, 5. TV2300 København S",01-10-2017,AP Pension,4,110,https://www.findbolig.nu/bolig.aspx?aid=27425&s=2,2300,København S,Amagerfælledvej,15294.42,1250.0,136,12.59056843,55.65661734,348415.59584889014,6170495.360516958
"Amagerfælledvej  140, 4. TH2300 København S",01-10-2017,AP Pension,4,114,https://www.findbolig.nu/bolig.aspx?aid=27426&s=2,2300,København S,Amagerfælledvej,15552.92,1290.0,140,12.59114605,55.65651976,348451.5507565887,6170483.24212624
"Teglholmsgade  76, 4. mf.2450 København SV",01-10-2017,Pensamlogo,3,99,https://www.findbolig.nu/bolig.aspx?aid=27432&s=2,2450,København SV,Teglholmsgade,13820.79,1075.0,76,12.5545268,55.64996496,346122.5110096676,6169834.6051720595
"Teglholmsgade  76, 4. th.2450 København SV",01-10-2017,Pensamlogo,3,94,https://www.findbolig.nu/bolig.aspx?aid=27433&s=2,2450,København SV,Teglholmsgade,14050.0,1020.0,76,12.5545268,55.64996496,346122.5110096676,6169834.6051720595
"Teglholmsgade  76, 5. th.2450 København SV",01-10-2017,Pensamlogo,3,94,https://www.findbolig.nu/bolig.aspx?aid=27434&s=2,2450,København SV,Teglholmsgade,14348.57,865.0,76,12.5545268,55.64996496,346122.5110096676,6169834.6051720595
"Peder Nilen Gade  1, st. lejl. 2263400 Hillerød",01-10-2017,DanicaLogo,3,123,https://www.findbolig.nu/bolig.aspx?aid=27437&s=2,3400,Hillerød,Peder Nilen Gade,14577.24,900.0,1,12.2975147,55.92948464,331168.4273467959,6201530.667389273
"Carl Jacobsens Vej  19T, 4. TH2500 Valby",01-10-2017,Lærernes Pension,4,117,https://www.findbolig.nu/bolig.aspx?aid=27466&s=2,2500,Valby,Carl Jacobsens Vej,14019.61,1150.0,19T,12.51808834,55.65285474,343841.7013472067,6170237.530985527
"Krimsvej  11F, 9. mf.2300 København S",01-10-2017,Lærernes Pension,3,105,https://www.findbolig.nu/bolig.aspx?aid=27469&s=2,2300,København S,Krimsvej,16165.02,1200.0,11F,12.63080232,55.66081427,350962.2507203489,6170875.109348939
"Carl Jacobsens Vej  19Y, 3. TV2500 Valby",01-10-2017,Lærernes Pension,4,109,https://www.findbolig.nu/bolig.aspx?aid=27475&s=2,2500,Valby,Carl Jacobsens Vej,13868.86,1100.0,19Y,12.51830978,55.65304692,343856.39594495925,6170258.413127415
"Bygmestervej   1B, 3. th2400 København NV",01-10-2017,Pædagogernes Pensionskasse,3,106,https://www.findbolig.nu/bolig.aspx?aid=27559&s=2,2400,København NV,Bygmestervej,14150.0,1100.0,1B,12.5349331,55.7060083,345111.5667178972,6176113.283947255
"Ben Websters Vej  70, 5. th2450 København SV",01-10-2017,CEJ Ejendomsadministration,3,104,https://www.findbolig.nu/bolig.aspx?aid=23720&s=2,2450,København SV,Ben Websters Vej,15000.0,1000.0,70,12.55251882,55.64619062,345981.37225971674,6169419.150500648
"Artillerivej  160, 14. 12300 København S",01-10-2017,PKA_Logo_2014,3,100,https://www.findbolig.nu/bolig.aspx?aid=23554&s=2,2300,København S,Artillerivej,16582.34,1085.0,160,12.5678003,55.65353166,346971.45776376827,6170202.053889057
"Teglholmsgade  60, 5. tv.2450 København SV",01-10-2017,Pensamlogo,3,96,https://www.findbolig.nu/bolig.aspx?aid=23784&s=2,2450,København SV,Teglholmsgade,14474.24,1250.0,60,12.55578204,55.64992595,346201.3246259209,6169827.48153318
"Kløverbladsgade  75, 2. TH2500 Valby",01-12-2017,AP Pension,3,104,https://www.findbolig.nu/bolig.aspx?aid=26584&s=2,2500,Valby,Kløverbladsgade,12993.17,1079.17,75,12.51885933,55.65348558,343892.710762938,6170305.978538306
"Kløverbladsgade  75, 2. TV2500 Valby",01-12-2017,AP Pension,3,108,https://www.findbolig.nu/bolig.aspx?aid=26585&s=2,2500,Valby,Kløverbladsgade,12968.88,1121.88,75,12.51885933,55.65348558,343892.710762938,6170305.978538306
"Ben Websters Vej 66, 6. th2450 København SV",15-12-2017,CEJ Ejendomsadministration,3,94,https://www.findbolig.nu/bolig.aspx?aid=28010&s=2,2450,København SV,Ben Websters Vej,15500.0,1000.0,66,12.55210852,55.6463828,345956.31260331406,6169441.442276262
"Alliancevej 24, 1. th2450 København SV",15-12-2017,CEJ Ejendomsadministration,3,123,https://www.findbolig.nu/bolig.aspx?aid=28007&s=2,2450,København SV,Alliancevej,17000.0,1400.0,24,12.55245132,55.64779851,345983.43798249646,6169598.184570889
"Lyngholmpark  39 , 1.  3520 Farum",15-12-2017,Deas Logo,2,70,https://www.findbolig.nu/bolig.aspx?aid=27966&s=2,3520,Farum,Lyngholmpark,7136.76,600.0,39,12.3865199,55.82110364,336271.75085375365,6189259.2794936905
"Gyngemose Parkvej 2D, 1. tv2860 Søborg",01-01-2018,CEJ Ejendomsadministration,4,102,https://www.findbolig.nu/bolig.aspx?aid=27996&s=2,2860,Søborg,Gyngemose Parkvej,12000.0,1000.0,2D,12.47392414,55.72598322,341360.0701445304,6178473.542594268
"Alliancevej 28, 2. tv2450 København SV",01-01-2018,CEJ Ejendomsadministration,4,108,https://www.findbolig.nu/bolig.aspx?aid=27949&s=2,2450,København SV,Alliancevej,16600.0,1300.0,28,12.55282834,55.64777751,346007.0749968992,6169595.01127337
"Alliancevej 26, 1. tv2450 København SV",01-01-2018,CEJ Ejendomsadministration,3,94,https://www.findbolig.nu/bolig.aspx?aid=27947&s=2,2450,København SV,Alliancevej,15200.0,1100.0,26,12.55263962,55.64777426,345995.1892960926,6169595.068629364
"Ben Websters Vej 70, 2. 172450 København SV",01-01-2018,CEJ Ejendomsadministration,4,106,https://www.findbolig.nu/bolig.aspx?aid=28005&s=2,2450,København SV,Ben Websters Vej,15500.0,1000.0,70,12.55251882,55.64619062,345981.37225971674,6169419.150500648
"Rantzausgade 60D, 2. 42200 København N",01-01-2018,CEJ Ejendomsadministration,2,79,https://www.findbolig.nu/bolig.aspx?aid=28015&s=2,2200,København N,Rantzausgade,12000.0,1000.0,60D,12.54603818,55.68796222,345738.1032631342,6174080.8197005065
"Ernie Wilkins Vej  11, 4. th2450 København SV",01-01-2018,CEJ Ejendomsadministration,3,94,https://www.findbolig.nu/bolig.aspx?aid=28016&s=2,2450,København SV,Ernie Wilkins Vej,13500.0,1000.0,11,12.55112161,55.64602493,345892.81520345574,6169403.819665706
"Clara Pontoppidans Vej 87, st. tv2500 Valby",01-01-2018,CEJ Ejendomsadministration,3,87,https://www.findbolig.nu/bolig.aspx?aid=28017&s=2,2500,Valby,Clara Pontoppidans Vej,12000.0,1000.0,87,12.51130086,55.65892895,343438.99124974327,6170928.6049302025
"Howitzvej 51 A, 2. th2000 Frederiksberg",01-01-2018,CEJ Ejendomsadministration,3,106,https://www.findbolig.nu/bolig.aspx?aid=17078&s=2,2000,Frederiksberg,Howitzvej,17700.0,1000.0,51,12.53277741,55.67913534,344869.7387112316,6173128.375579044
"Ben Websters Vej 50, st.2450 København SV",01-11-2017,CEJ Ejendomsadministration,3,98,https://www.findbolig.nu/bolig.aspx?aid=27114&s=2,2450,København SV,Ben Websters Vej,14500.0,1000.0,50,12.55128869,55.64634227,345904.5736200551,6169438.753863986
"Margretheholmsvej  16, 4. tv1432 København K",01-11-2017,PKA_Logo_2014,4,92,https://www.findbolig.nu/bolig.aspx?aid=27399&s=2,1432,København K,Margretheholmsvej,12683.61,960.0,16,12.61554326,55.68344104,350089.12569892866,6173425.370982714
"Vestre Teglgade  2C, 5. TH2450 København SV",01-11-2017,PKA_Logo_2014,4,110,https://www.findbolig.nu/bolig.aspx?aid=27406&s=2,2450,København SV,Vestre Teglgade,15103.43,1150.0,2C,12.5486939,55.6526905,345766.28370851243,6170150.786068461
"Amalieparken 87, st. 32665 Vallensbæk Strand",01-11-2017,CEJ Ejendomsadministration,4,117,https://www.findbolig.nu/bolig.aspx?aid=27375&s=2,2665,Vallensbæk Strand,Amalieparken,12450.0,1285.0,87,12.37505696,55.62487487,334726.79544761614,6167456.084768854
"Kirkeskov Allé  11, 2. 13050 Humlebæk",01-11-2017,PKA_Logo_2014,2,77,https://www.findbolig.nu/bolig.aspx?aid=27476&s=2,3050,Humlebæk,Kirkeskov Allé,9963.27,725.0,11,12.53201977,55.96476841,345955.24397863727,6204908.461499953
Lille Ellekongstræde  1   3700 Rønne,01-11-2017,PKA_Logo_2014,2,83,https://www.findbolig.nu/bolig.aspx?aid=27660&s=2,3700,Rønne,Lille Ellekongstræde,6726.75,450.0,1,14.70097517,55.10206481,480920.4367123025,6106190.022213868
"Mortonsvej  8, 2. TH.2800 Kongens Lyngby",01-11-2017,PKA_Logo_2014,4,118,https://www.findbolig.nu/bolig.aspx?aid=27661&s=2,2800,Kongens Lyngby,Mortonsvej,16400.62,1233.33,8,12.49384523,55.77215029,342796.661436795,6183564.382998049
"Algade  33, 5.4000 Roskilde",01-11-2017,PKA_Logo_2014,6,177,https://www.findbolig.nu/bolig.aspx?aid=27890&s=2,4000,Roskilde,Algade,17611.5,2175.0,33,12.08679741,55.64109762,316658.42051696044,6169984.999632614
"Marmorvej  17A, 1. th.2100 København Ø",01-11-2017,Pensam,3,99,https://www.findbolig.nu/bolig.aspx?aid=27458&s=2,2100,København Ø,Marmorvej,15510.0,1125.0,17A,12.59455258,55.70395244,348848.90781428706,6175752.964332042
"C. F. Møllers Alle  2D, 2. TH.2300 København S",01-11-2017,Deas logo,3,98,https://www.findbolig.nu/bolig.aspx?aid=27799&s=2,2300,København S,C.F. Møllers Allé,13965.0,460.0,2D,12.57509581,55.63572083,347361.09971259907,6168204.446316739
"Strandbjerg  1E, 2. tv.2960 Rungsted Kyst",01-11-2017,Deas Logo,3,150,https://www.findbolig.nu/bolig.aspx?aid=27767&s=2,2960,Rungsted Kyst,Strandbjerg,17994.82,1100.0,1E,12.53742963,55.89236143,346005.8542541994,6196840.579521184
"Vestre Teglgade  2P, 3. TH2450 København SV",01-11-2017,PKA_Logo_2014,4,111,https://www.findbolig.nu/bolig.aspx?aid=27780&s=2,2450,København SV,Vestre Teglgade,14701.43,1160.0,2P,12.54819572,55.65294401,345735.94274578773,6170180.097816388
"Nørrebrogade 224, 1. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,93,https://www.findbolig.nu/bolig.aspx?aid=27750&s=2,2200,København N,Nørrebrogade,11250.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 1. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27751&s=2,2200,København N,Nørrebrogade,14000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 2. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,93,https://www.findbolig.nu/bolig.aspx?aid=27752&s=2,2200,København N,Nørrebrogade,12500.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 2. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27753&s=2,2200,København N,Nørrebrogade,15000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 3. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,93,https://www.findbolig.nu/bolig.aspx?aid=27754&s=2,2200,København N,Nørrebrogade,13000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 3. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27755&s=2,2200,København N,Nørrebrogade,15000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 4. tv2200 København N",01-11-2017,AdvokaterLoegstrup,3,92,https://www.findbolig.nu/bolig.aspx?aid=27756&s=2,2200,København N,Nørrebrogade,13500.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Nørrebrogade 224, 4. th2200 København N",01-11-2017,AdvokaterLoegstrup,3,102,https://www.findbolig.nu/bolig.aspx?aid=27757&s=2,2200,København N,Nørrebrogade,15000.0,1350.0,224,12.54020343,55.70013915,345419.471807537,6175448.55214671
"Krimsvej  23, 14. tv.2300 København S",01-11-2017,Lærernes Pension,3,92,https://www.findbolig.nu/bolig.aspx?aid=27930&s=2,2300,København S,Krimsvej,14416.22,1000.0,23,12.6318765,55.65903342,351023.0439423981,6170674.670612634
